line_id,plant_id,work_center_id,shift_id,shift_date,shift_number,shift_duration_minutes,product_id,product_family,production_order_id,line_type,automation_level,number_of_stations,line_configuration,plant_location,industry_sector,takt_time_seconds,designed_cycle_time_seconds,actual_cycle_time_avg_seconds,actual_cycle_time_std_seconds,actual_cycle_time_min_seconds,actual_cycle_time_max_seconds,cycle_time_percentile_p50,cycle_time_percentile_p95,cycle_time_cov,bottleneck_station_id,bottleneck_cycle_time_seconds,bottleneck_utilisation_pct,secondary_bottleneck_station_id,cycle_time_loss_seconds,planned_production_quantity,actual_production_quantity,good_units_produced,defective_units_produced,scrap_units,rework_units,throughput_rate_actual_uph,throughput_rate_design_uph,throughput_rate_ratio,rolled_throughput_yield_pct,total_parts_processed,wip_queue_avg_units,wip_queue_max_units,output_variance_pct,units_per_operator_hour,planned_production_time_minutes,available_time_minutes,oee_availability,oee_performance,oee_quality,oee_overall,teep_pct,loading_pct,availability_loss_minutes,performance_loss_units,quality_loss_units,six_big_losses_breakdown,oee_benchmark_class,oee_loss_primary_driver,changeover_time_minutes,changeover_count,downtime_unplanned_minutes,downtime_planned_minutes,downtime_event_count,mtbf_minutes,mttr_minutes,largest_downtime_event_minutes,equipment_failure_flag,downtime_category_mechanical,downtime_category_electrical,downtime_category_tooling,downtime_category_material,downtime_category_operator,downtime_category_quality_hold,planned_maintenance_flag,maintenance_type_last,equipment_age_years,equipment_condition_score,operator_headcount_planned,operator_headcount_actual,operator_utilisation_pct,operator_skill_level_avg,absenteeism_rate_pct,overtime_hours,ergonomic_incident_flag,operator_variance_flag,cross_training_ratio_pct,shift_supervisor_id,defect_rate_ppm,sigma_level,cpk_primary_characteristic,cp_primary_characteristic,primary_defect_type,secondary_defect_type,inspection_method,spc_control_chart_flag,control_chart_out_of_control,quality_alert_issued,customer_complaint_flag,first_pass_yield_pct,right_first_time_pct,energy_consumption_kwh,energy_per_good_unit_kwh,peak_demand_kw,compressed_air_consumption_m3,coolant_consumption_litres,energy_efficiency_score,carbon_footprint_kg_co2,direct_labour_cost_usd,overhead_cost_usd,material_cost_per_unit_usd,scrap_cost_usd,rework_cost_usd,downtime_cost_per_minute_usd,total_downtime_cost_usd,cost_of_poor_quality_usd,value_added_ratio_pct,production_cost_per_unit_usd
MFG-LINE-PLT-010-04,PLT-010,WC-046,SHF-PLT-010-20231003-1,2023-10-03,1,476.9,PRD-2023-SKU-03844,industrial_machinery,WO-2023-84331,packaging_line,semi_automated,8,serial,Seoul_KR,industrial,298.9,264.3,295.659,35.479,257.16,768.91,278.04,354.2,0.12,WC-002,316.73,97.39,WC-001,282.04,108,77,76,1,0,1,12.16,13.62,0.8928,99.8313,77,0.3,0,-28.7,0.87,476.9,425.8,0.8928,0.7967,0.987,0.7021,23.25,33.11,51.1,19.6,1,idling_minor_stops,good,performance_loss,45.8,2,51.1,0.0,2,238.4,25.5,30.7,yes,51.1,0.0,0.0,0.0,0.0,0.0,no,corrective,14.7,6.5,13,11,92.3,skilled,13.6,0.0,no,no,83.0,SUP-132,1687.0,4.43,0.98,1.01,dimensional_out_of_spec,assembly_error,sampling_plan_ansi,yes,no,no,no,99.8313,99.6903,194.1,2.554,47.8,26.3,,8.3,81.5,3811.09,6222.37,27.92,0.0,6.98,100,5110.0,1028.98,56.6,160.3066
MFG-LINE-PLT-010-04,PLT-010,WC-020,SHF-PLT-010-20241225-2,2024-12-25,2,448.8,PRD-2024-SKU-09427,industrial_machinery,WO-2024-41666,packaging_line,semi_automated,8,serial,Seoul_KR,industrial,298.9,264.3,358.09,42.971,309.33,928.82,343.72,428.99,0.12,WC-008,392.02,99.52,WC-007,344.47,101,54,53,1,0,1,10.0,13.62,0.7342,99.6198,54,3.9,9,-46.53,1.18,448.8,323.9,0.7217,0.7343,0.9815,0.5202,16.21,31.17,124.9,19.5,1,equipment_failure,average,availability_loss,0.0,0,124.9,0.0,3,149.6,41.6,61.1,yes,22.8,61.1,0.0,0.0,0.0,41.0,no,corrective,14.7,6.4,7,6,88.7,semi_skilled,8.8,0.0,no,no,76.6,SUP-153,3802.0,4.17,0.89,0.93,dimensional_out_of_spec,assembly_error,sampling_plan_ansi,no,no,no,no,99.6198,98.614,180.0,3.396,47.7,14.7,,7.7,75.6,1703.99,1512.14,79.18,0.0,19.8,100,12490.0,2517.8,58.6,141.3557
MFG-LINE-PLT-004-01,PLT-004,WC-037,SHF-PLT-004-20230728-2,2023-07-28,2,473.6,PRD-2023-SKU-02419,industrial_machinery,WO-2023-38537,packaging_line,highly_automated,10,parallel,Shenzhen_CN,industrial,224.5,209.4,247.489,12.374,230.74,537.07,244.94,267.91,0.05,WC-002,256.6,94.26,WC-001,230.3,135,75,74,1,0,1,14.38,17.19,0.8365,99.8757,75,1.7,4,-44.44,9.38,473.6,347.7,0.7342,0.7528,0.9867,0.5453,17.93,32.89,125.9,24.6,1,equipment_failure,average,availability_loss,34.7,3,125.9,0.0,5,94.7,25.2,46.1,yes,104.5,5.5,0.0,15.9,0.0,0.0,no,preventive,28.6,5.3,2,1,79.6,skilled,0.8,0.9,no,no,76.1,SUP-160,1243.0,4.53,1.01,1.07,dimensional_out_of_spec,assembly_error,automated_vision,no,no,no,no,99.8757,97.2906,367.5,4.966,83.7,19.4,,6.7,154.3,365.24,594.07,37.52,0.0,9.38,100,12590.0,2527.38,38.0,50.9907
MFG-LINE-PLT-003-04,PLT-003,WC-015,SHF-PLT-003-20201023-2,2020-10-23,2,460.6,PRD-2020-SKU-05777,electronics_pcb,WO-2020-49367,discrete_manufacturing,highly_automated,8,serial,Seoul_KR,electronics,30.3,27.1,30.15,1.507,26.22,73.06,30.82,32.64,0.05,WC-006,31.15,93.92,WC-008,0.0,1019,879,878,1,0,1,119.29,132.84,0.898,99.9738,879,4.2,16,-13.74,7.62,441.6,423.1,0.9581,0.9383,0.9989,0.898,27.54,30.67,18.5,57.8,1,idling_minor_stops,world_class,performance_loss,0.0,0,18.5,19.0,1,460.6,18.5,18.5,no,0.0,18.5,0.0,0.0,0.0,0.0,yes,preventive,11.0,5.3,16,15,77.5,expert,2.6,0.0,no,no,88.3,SUP-063,262.0,4.97,1.16,1.22,functional_failure,dimensional_out_of_spec,automated_vision,yes,yes,yes,no,99.9738,98.8056,810.4,0.923,210.9,44.1,,7.7,340.4,3825.85,9230.62,15.59,0.0,3.9,150,2775.0,558.9,53.8,30.4785
MFG-LINE-PLT-010-03,PLT-010,WC-025,SHF-PLT-010-20240110-2,2024-01-10,2,427.7,PRD-2024-SKU-04506,industrial_machinery,WO-2024-81095,packaging_line,semi_automated,10,transfer_line,Munich_DE,industrial,34.2,34.8,38.147,4.578,33.06,95.43,38.28,45.7,0.12,WC-007,42.73,99.9,WC-008,0.0,736,538,537,1,0,1,94.28,103.45,0.9114,99.8862,538,1.3,4,-26.9,5.38,427.7,342.4,0.8006,0.9114,0.9981,0.7282,21.63,29.7,85.3,52.3,1,equipment_failure,good,availability_loss,0.0,0,85.3,0.0,3,142.6,28.4,59.6,yes,59.6,0.0,15.2,10.4,0.0,0.0,no,corrective,29.1,6.8,15,14,63.5,expert,5.4,0.0,no,no,40.0,SUP-080,1138.0,4.55,1.02,1.16,dimensional_out_of_spec,assembly_error,sampling_plan_ansi,yes,yes,yes,no,99.8862,98.5757,1441.3,2.684,333.1,149.4,,8.2,605.3,6315.71,14239.35,68.68,0.0,17.17,100,8530.0,1723.17,34.4,107.0855
MFG-LINE-PLT-004-07,PLT-004,WC-043,SHF-PLT-004-20230311-2,2023-03-11,2,445.5,PRD-2023-SKU-01622,industrial_machinery,WO-2023-91573,batch_process,highly_automated,5,flexible,Stuttgart_DE,industrial,224.4,199.4,218.542,10.927,186.64,443.88,219.5,236.57,0.05,WC-004,231.16,96.16,WC-001,200.49,133,110,109,1,0,1,16.44,18.05,0.9108,99.2582,110,0.6,1,-17.29,2.45,445.5,413.8,0.9288,0.8834,0.9909,0.8131,25.16,30.94,31.7,14.5,1,idling_minor_stops,good,performance_loss,12.4,1,31.7,0.0,2,222.7,15.8,22.9,no,0.0,8.8,0.0,0.0,0.0,22.9,no,preventive,22.9,6.5,7,6,78.7,expert,4.6,0.0,no,no,22.5,SUP-196,7418.0,3.94,0.81,0.82,dimensional_out_of_spec,assembly_error,automated_vision,no,no,no,no,99.2582,98.8753,263.1,2.414,53.5,36.9,,8.4,110.5,2761.47,6140.71,39.66,0.0,9.91,100,3170.0,643.91,30.9,121.6952
MFG-LINE-PLT-005-03,PLT-005,WC-007,SHF-PLT-005-20231218-1,2023-12-18,1,478.1,PRD-2023-SKU-06623,automotive_body,WO-2023-94883,chemical_process,highly_automated,2,serial,Chicago_US,automotive,62.1,56.6,62.094,3.105,55.61,117.69,60.46,67.22,0.05,WC-001,63.93,93.6,WC-002,0.0,506,416,415,1,0,1,57.95,63.6,0.9112,99.9886,416,2.6,10,-17.79,26.04,478.1,430.7,0.9009,0.9111,0.9976,0.8188,27.19,33.2,47.4,40.6,1,setup_adjustment,good,availability_loss,0.0,0,47.4,0.0,2,239.1,23.7,41.9,yes,0.0,0.0,0.0,5.5,0.0,41.9,no,predictive,32.9,5.7,3,2,90.2,multi_skilled,13.0,0.0,no,no,59.4,SUP-089,114.0,5.19,1.23,1.26,dimensional_out_of_spec,surface_finish,automated_vision,yes,no,no,no,99.9886,97.645,986.9,2.378,166.5,68.6,19.7,8.1,414.5,970.36,1662.49,53.07,0.0,13.27,200,9480.0,1909.27,56.3,59.5421
MFG-LINE-PLT-004-02,PLT-004,WC-018,SHF-PLT-004-20220511-1,2022-05-11,1,476.7,PRD-2022-SKU-06381,industrial_machinery,WO-2022-74519,hybrid,manual,2,flexible,Nagoya_JP,industrial,244.9,225.0,286.631,61.196,258.53,606.15,278.55,387.6,0.213,WC-001,356.99,99.9,WC-002,270.63,126,59,58,1,0,1,12.38,16.0,0.7738,99.2908,59,1.5,4,-53.17,0.52,476.7,342.0,0.7175,0.6469,0.9831,0.4562,15.1,33.11,134.7,32.2,1,idling_minor_stops,poor,performance_loss,56.0,2,134.7,0.0,3,158.9,44.9,100.9,yes,134.7,0.0,0.0,0.0,0.0,0.0,no,preventive,6.1,7.0,16,14,67.5,semi_skilled,10.1,0.0,no,no,46.8,SUP-045,7092.0,3.95,0.82,0.93,dimensional_out_of_spec,assembly_error,100pct_manual,yes,yes,no,no,99.2908,98.2428,256.8,4.428,57.0,30.1,,7.0,107.9,3941.54,6001.54,31.32,0.0,7.83,100,13470.0,2701.83,65.6,203.2924
MFG-LINE-PLT-002-03,PLT-002,WC-025,SHF-PLT-002-20211113-2,2021-11-13,2,473.7,PRD-2021-SKU-05217,electronics_pcb,WO-2021-49431,assembly_line,highly_automated,10,u_shaped,Chennai_IN,electronics,45.8,43.7,60.132,3.007,52.97,85.93,59.57,65.09,0.05,WC-001,63.14,95.45,WC-010,0.0,649,462,461,1,0,1,59.78,82.38,0.7257,99.9304,462,1.2,4,-28.81,14.6,473.7,463.7,0.9789,0.7257,0.9978,0.7088,23.32,32.89,10.0,174.6,1,reduced_speed,good,performance_loss,0.0,0,10.0,0.0,2,236.8,5.0,5.1,no,0.0,0.0,0.0,10.0,0.0,0.0,no,corrective,13.3,5.2,5,4,76.7,semi_skilled,4.4,0.0,no,yes,11.3,SUP-125,696.0,4.7,1.07,1.11,functional_failure,dimensional_out_of_spec,automated_vision,yes,no,no,no,99.9304,98.334,325.0,0.705,78.5,48.7,,8.2,136.5,1889.03,4429.08,3.03,0.0,0.76,150,1500.0,300.76,64.6,16.7418
MFG-LINE-PLT-004-04,PLT-004,WC-029,SHF-PLT-004-20231026-3,2023-10-26,3,426.5,PRD-2023-SKU-06474,industrial_machinery,WO-2023-77184,chemical_process,manual,2,parallel,Chennai_IN,industrial,354.2,289.7,340.96,59.668,299.92,513.36,312.91,439.41,0.175,WC-001,336.61,89.75,WC-002,328.53,88,61,60,1,0,1,10.52,12.43,0.8463,99.7658,61,0.4,1,-30.68,0.42,426.5,426.5,1.0,0.6905,0.9836,0.6792,20.12,29.62,0.0,27.3,1,reduced_speed,average,performance_loss,78.7,2,0.0,0.0,0,426.5,0.0,0.0,no,0.0,0.0,0.0,0.0,0.0,0.0,no,corrective,24.6,5.0,22,20,87.2,expert,7.9,0.0,no,no,30.2,SUP-110,2342.0,4.33,0.94,1.0,dimensional_out_of_spec,assembly_error,100pct_manual,no,no,no,no,99.7658,98.812,186.7,3.112,46.6,24.5,,7.9,78.4,4404.77,10746.24,28.12,0.0,7.03,100,0.0,7.03,38.2,281.1055
MFG-LINE-PLT-004-03,PLT-004,WC-006,SHF-PLT-004-20240315-1,2024-03-15,1,479.6,PRD-2024-SKU-02431,industrial_machinery,WO-2024-93850,machining_cell,highly_automated,5,flexible,Seoul_KR,industrial,138.3,132.9,138.388,6.919,123.33,266.54,138.88,149.8,0.05,WC-005,142.45,93.58,WC-004,111.3,215,168,167,1,0,1,26.0,27.09,0.9598,99.6022,168,3.5,9,-21.86,10.45,437.4,345.5,0.7899,1.0,0.994,0.7852,23.85,30.38,91.9,0.0,1,equipment_failure,good,availability_loss,0.0,0,91.9,42.2,3,159.9,30.6,56.5,yes,84.6,7.4,0.0,0.0,0.0,0.0,yes,preventive,22.2,5.8,3,2,87.3,expert,5.9,0.0,no,no,20.3,SUP-043,3978.0,4.15,0.88,0.92,dimensional_out_of_spec,assembly_error,automated_vision,yes,yes,no,no,99.6022,97.8155,526.7,3.154,124.9,71.0,,7.9,221.2,325.76,740.98,99.67,0.0,24.92,100,9190.0,1862.92,40.3,106.6545
MFG-LINE-PLT-007-01,PLT-007,WC-007,SHF-PLT-007-20200413-2,2020-04-13,2,464.7,PRD-2020-SKU-09741,industrial_machinery,WO-2020-57860,hybrid,lights_out,15,u_shaped,Milan_IT,industrial,177.7,170.1,230.947,6.928,211.96,494.59,227.69,242.38,0.03,WC-012,239.17,94.15,WC-004,209.79,163,90,89,1,0,1,15.45,21.16,0.7302,99.9276,90,0.2,0,-44.79,0.96,464.7,386.8,0.8324,0.6597,0.9889,0.543,17.52,32.27,77.9,46.4,1,idling_minor_stops,average,performance_loss,37.3,2,77.9,0.0,7,66.4,11.1,16.4,no,16.4,21.8,13.9,4.2,7.5,14.1,no,emergency,27.1,6.2,13,12,72.2,semi_skilled,7.6,0.0,no,no,74.9,SUP-175,724.0,4.68,1.06,1.06,dimensional_out_of_spec,assembly_error,automated_vision,yes,no,no,no,99.9276,98.6191,231.8,2.605,52.2,28.8,,8.3,97.4,3752.65,5869.91,50.66,0.0,12.66,100,7790.0,1570.66,57.0,159.3479
