line_id,shift_date,shift_number,takt_time_seconds,designed_cycle_time_seconds,actual_cycle_time_avg_seconds,throughput_rate_actual_uph,throughput_rate_design_uph,output_variance_pct,takt_uph,throughput_vs_takt_gap
MFG-LINE-PLT-005-06,2021-01-24,2,73.7,75.0,103.055,34.73,48.0,-61.96,48.846675712347356,-14.116675712347359
MFG-LINE-PLT-003-05,2023-02-17,1,39.9,39.1,43.153,83.37,92.07,-23.52,90.22556390977444,-6.855563909774432
MFG-LINE-PLT-006-01,2024-01-16,1,25.7,24.6,26.336,133.34,146.34,-96.94,140.07782101167317,-6.737821011673162
MFG-LINE-PLT-009-01,2021-04-26,2,63.4,62.8,68.393,52.59,57.32,-22.27,56.782334384858046,-4.192334384858043
MFG-LINE-PLT-004-05,2023-03-12,2,156.1,151.3,258.562,13.83,23.79,-56.74,23.062139654067906,-9.232139654067906
MFG-LINE-PLT-006-02,2024-03-19,1,6.4,6.6,6.925,519.78,545.45,-34.24,562.5,-42.72000000000003
MFG-LINE-PLT-005-06,2024-06-24,3,73.7,75.0,87.119,41.32,48.0,-37.4,48.846675712347356,-7.526675712347355
MFG-LINE-PLT-008-01,2024-07-20,1,138.1,113.9,120.193,29.9,31.61,-11.2,26.06806661839247,3.831933381607527
MFG-LINE-PLT-010-04,2021-12-27,1,298.9,264.3,273.485,13.1,13.62,-2.91,12.04416192706591,1.0558380729340904
MFG-LINE-PLT-007-02,2024-02-02,2,238.3,231.6,254.807,14.12,15.54,-31.58,15.107007973143096,-0.987007973143097
MFG-LINE-PLT-002-04,2020-03-24,1,16.2,14.1,14.406,249.79,255.32,-16.96,222.22222222222223,27.567777777777764
MFG-LINE-PLT-008-01,2024-10-02,1,138.1,113.9,120.041,29.95,31.61,-32.88,26.06806661839247,3.881933381607528
MFG-LINE-PLT-004-03,2020-02-23,1,138.3,132.9,138.782,25.78,27.09,-27.57,26.030368763557483,-0.25036876355748205
MFG-LINE-PLT-005-04,2021-09-19,1,51.5,46.6,58.5,61.51,77.25,-29.25,69.90291262135922,-8.392912621359223
MFG-LINE-PLT-005-02,2021-01-30,1,53.5,47.5,60.075,59.79,75.79,-30.36,67.28971962616822,-7.499719626168222
MFG-LINE-PLT-003-05,2021-11-27,3,39.9,39.1,47.698,75.42,92.07,-22.04,90.22556390977444,-14.805563909774435
MFG-LINE-PLT-009-01,2022-10-30,2,63.4,62.8,70.605,50.84,57.32,-44.44,56.782334384858046,-5.942334384858043
MFG-LINE-PLT-003-01,2020-07-21,3,21.2,20.5,29.328,122.63,175.61,-57.96,169.81132075471697,-47.18132075471698
MFG-LINE-PLT-003-01,2023-10-26,2,21.2,20.5,23.067,155.96,175.61,-39.62,169.81132075471697,-13.851320754716966
MFG-LINE-PLT-008-02,2020-12-03,1,36.9,38.7,61.391,58.55,93.02,-40.5,97.5609756097561,-39.0109756097561
MFG-LINE-PLT-009-01,2024-04-03,2,63.4,62.8,77.172,46.52,57.32,-46.39,56.782334384858046,-10.262334384858043
MFG-LINE-PLT-001-02,2024-01-03,1,62.4,50.8,64.683,55.63,70.87,-31.06,57.69230769230769,-2.062307692307691
MFG-LINE-PLT-008-01,2023-10-15,1,138.1,113.9,146.997,24.46,31.61,-30.0,26.06806661839247,-1.6080666183924706
MFG-LINE-PLT-010-01,2020-07-02,1,267.8,279.7,313.112,11.42,12.87,-36.73,13.44286781179985,-2.02286781179985
MFG-LINE-PLT-003-03,2020-06-22,1,11.0,9.6,10.743,335.06,375.0,-39.82,327.27272727272725,7.78727272727275
MFG-LINE-PLT-008-02,2023-06-02,1,36.9,38.7,43.553,82.58,93.02,-18.12,97.5609756097561,-14.9809756097561
MFG-LINE-PLT-003-02,2020-10-11,2,42.0,36.5,44.564,80.74,98.63,-29.23,85.71428571428571,-4.974285714285713
MFG-LINE-PLT-009-01,2021-11-08,2,63.4,62.8,85.801,41.92,57.32,-38.13,56.782334384858046,-14.862334384858045
MFG-LINE-PLT-010-03,2021-05-22,2,34.2,34.8,38.91,92.5,103.45,-16.69,105.26315789473684,-12.763157894736835
MFG-LINE-PLT-003-03,2024-10-22,1,11.0,9.6,9.703,370.94,375.0,-18.64,327.27272727272725,43.667272727272746
MFG-LINE-PLT-004-04,2024-01-17,2,354.2,289.7,387.0,9.21,12.43,-38.37,10.163749294184077,-0.9537492941840764
MFG-LINE-PLT-004-05,2022-07-13,3,156.1,151.3,170.882,20.82,23.79,-59.09,23.062139654067906,-2.2421396540679055
MFG-LINE-PLT-010-03,2023-10-03,1,34.2,34.8,44.606,80.57,103.45,-52.11,105.26315789473684,-24.693157894736842
MFG-LINE-PLT-004-05,2020-11-30,1,156.1,151.3,158.291,22.63,23.79,-8.02,23.062139654067906,-0.4321396540679068
MFG-LINE-PLT-007-02,2022-11-10,3,238.3,231.6,268.513,13.28,15.54,-20.91,15.107007973143096,-1.8270079731430968
MFG-LINE-PLT-002-04,2022-10-29,2,16.2,14.1,16.886,213.08,255.32,-39.73,222.22222222222223,-9.142222222222216
MFG-LINE-PLT-004-06,2021-12-20,2,126.5,112.6,151.911,23.64,31.97,-35.84,28.458498023715414,-4.818498023715414
MFG-LINE-PLT-002-02,2024-04-02,1,14.0,12.8,16.387,219.62,281.25,-37.99,257.14285714285717,-37.52285714285716
MFG-LINE-PLT-005-03,2021-10-30,2,62.1,56.6,62.592,57.36,63.6,-38.82,57.971014492753625,-0.6110144927536254
MFG-LINE-PLT-008-01,2020-06-16,1,138.1,113.9,154.943,23.04,31.61,-72.2,26.06806661839247,-3.0280666183924723
MFG-LINE-PLT-005-03,2020-04-05,1,62.1,56.6,74.622,48.12,63.6,-44.36,57.971014492753625,-9.851014492753627
MFG-LINE-PLT-005-06,2021-08-13,1,73.7,75.0,85.238,41.81,48.0,-78.69,48.846675712347356,-7.036675712347353
MFG-LINE-PLT-010-04,2024-11-16,1,298.9,264.3,300.256,11.86,13.62,-27.08,12.04416192706591,-0.18416192706590984
MFG-LINE-PLT-004-04,2021-04-03,1,354.2,289.7,359.929,9.93,12.43,-46.24,10.163749294184077,-0.23374929418407753
MFG-LINE-PLT-002-02,2022-09-12,1,14.0,12.8,14.448,249.09,281.25,-36.7,257.14285714285717,-8.052857142857164
MFG-LINE-PLT-002-04,2022-09-04,1,16.2,14.1,14.922,241.18,255.32,-23.12,222.22222222222223,18.95777777777778
MFG-LINE-PLT-005-04,2021-12-27,2,51.5,46.6,63.096,56.93,77.25,-35.68,69.90291262135922,-12.972912621359221
MFG-LINE-PLT-009-02,2022-01-21,2,40.5,33.0,39.247,91.72,109.09,-38.01,88.88888888888889,2.831111111111113
MFG-LINE-PLT-004-03,2022-06-23,1,138.3,132.9,149.476,23.95,27.09,-57.84,26.030368763557483,-2.080368763557484
MFG-LINE-PLT-005-05,2023-10-20,2,59.9,61.0,80.207,44.75,59.02,-33.48,60.10016694490818,-15.350166944908182
MFG-LINE-PLT-004-06,2020-03-17,2,126.5,112.6,149.338,24.06,31.97,-43.59,28.458498023715414,-4.398498023715415
MFG-LINE-PLT-005-02,2020-06-17,2,53.5,47.5,65.51,54.82,75.79,-36.36,67.28971962616822,-12.46971962616822
MFG-LINE-PLT-010-04,2020-12-11,3,298.9,264.3,372.897,9.65,13.62,-43.14,12.04416192706591,-2.394161927065909
MFG-LINE-PLT-010-01,2023-12-04,3,267.8,279.7,395.975,8.94,12.87,-46.88,13.44286781179985,-4.502867811799851
